,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
0,90011,Los Angeles,Los Angeles,111165,90011,34.00709,-118.258681,both,33.92735,-118.41591,10.57206531
1,91331,Pacoima,Los Angeles,105458,91331,34.255442,-118.421314,both,33.92735,-118.41591,22.69538107
2,90650,Norwalk,Los Angeles,105304,90650,33.906956,-118.08264,both,33.92735,-118.41591,19.18104133
3,90201,Bell,Los Angeles,101965,90201,33.970343,-118.171368,both,33.92735,-118.41591,14.34271328
4,90044,Los Angeles,Los Angeles,99443,90044,33.952725,-118.291904,both,33.92735,-118.41591,7.329069099
5,92335,Fontana,San Bernardino,99306,92335,34.085972,-117.464597,both,33.92735,-118.41591,55.63849767
6,92336,Fontana,San Bernardino,98346,92336,34.147718,-117.464506,both,33.92735,-118.41591,56.62152637
7,94565,Pittsburg,Contra Costa,97671,94565,38.014576,-121.906255,both,33.92735,-118.41591,343.583487
8,90250,Hawthorne,Los Angeles,97072,90250,33.914775,-118.348083,both,33.92735,-118.41591,3.988952893
9,90805,Long Beach,Los Angeles,95995,90805,33.864617,-118.180567,both,33.92735,-118.41591,14.19125042
10,92503,Riverside,Riverside,95551,92503,33.882579,-117.442303,both,33.92735,-118.41591,55.97682818
11,90280,South Gate,Los Angeles,94642,90280,33.944159,-118.192761,both,33.92735,-118.41591,12.85823042
12,91342,Sylmar,Los Angeles,94595,91342,34.326584,-118.382261,both,33.92735,-118.41591,27.68110505
13,91710,Chino,San Bernardino,91773,91710,34.004468,-117.684697,both,33.92735,-118.41591,42.28400151
14,92683,Westminster,Orange,91105,92683,33.752468,-117.993933,both,33.92735,-118.41591,27.09283351
15,92804,Anaheim,Orange,89915,92804,33.818246,-117.974985,both,33.92735,-118.41591,26.42205327
16,92154,San Diego,San Diego,88979,92154,32.557022,-117.006214,both,33.92735,-118.41591,125.0324202
17,92704,Santa Ana,Orange,88321,92704,33.721131,-117.90511,both,33.92735,-118.41591,32.63319719
18,95076,Watsonville,Santa Cruz,86905,95076,36.946256,-121.756479,both,33.92735,-118.41591,281.1012476
19,93307,Bakersfield,Kern,86832,93307,35.24512,-118.9411,both,33.92735,-118.41591,95.92710665
20,92376,Rialto,San Bernardino,86085,92376,34.111605,-117.377406,both,33.92735,-118.41591,60.88507844
21,91744,La Puente,Los Angeles,85421,91744,34.031415,-117.93647,both,33.92735,-118.41591,28.42529429
22,92592,Temecula,Riverside,84930,92592,33.511228,-117.042396,both,33.92735,-118.41591,84.09752085
